sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
-0.3689957905,2.3309056086,1.4849482013,2.9626073547,-0.1203978740,1.3207019391,2.3159204794,1.2440767769,6.6601933725,2.2759127989
-0.0568322889,-0.6099118278,-0.1077571113,-0.5446640562,1.8440508875,3.8957794528,3.9857240112,4.7261525758,3.6235689152,3.5851836749
0.5434184189,0.4019889883,0.7897627999,-2.9285295935,-0.8479232104,1.4107572914,1.7861771047,3.7384649683,-0.1203194637,2.4752540357
-0.2319654147,-0.0093652114,-0.8463356195,1.0955045789,0.0323679747,3.9587028609,4.3234025565,-0.9957966600,6.8957542447,5.8234571764
0.5329648427,0.4089494512,-2.6958499692,3.6809017227,3.1512944395,2.3628535215,4.4968900351,0.8383595157,-0.7114738588,4.3931779854
0.2005529750,1.2502548973,2.6010963535,3.8029075472,1.0173405954,2.4549725225,0.2387354086,3.0451934440,0.8743827025,2.6770524843
-0.3588233113,0.2465786707,0.1773873047,0.0377706091,2.9568780107,1.3612031673,5.2900978117,3.8760144511,7.0113488400,5.2832869907
-0.0110754218,1.4445401053,4.0850988980,0.9105639926,1.0272557328,3.0588105607,-0.6909117278,-0.9090967722,5.8542144840,4.9978369640
2.4431786982,-1.2117716505,-0.3740086427,0.8228152120,1.0087289188,1.7789900924,3.6207250408,2.8909697422,-0.5566607041,-1.2781923878
-0.1396558684,1.3267620650,-0.0530509540,2.7588051868,-1.4352429988,-0.1728070423,2.5959307766,1.2870045414,5.0260885060,2.8192920492
0.1392679099,1.8211616798,1.2930810597,-0.9457098233,5.1215331277,4.8083027440,1.2266370410,0.1214149862,1.4246912583,-0.1250041867
-0.3305153417,5.2429053556,0.1930022475,3.6248987598,1.4616307149,2.5430402428,-0.6159207165,-1.4701651645,1.0262595418,4.4723767665
0.1959779259,2.3643160023,2.2013857649,-0.5523200393,2.1726766328,6.4025939651,1.3044388987,4.6969306968,5.8821694777,5.4110214009
0.0609264292,-0.4854504657,2.5276877154,1.9151371102,2.6618484668,2.4779523274,-0.0693200663,5.9524537891,5.9099911131,5.8511606584
0.6625843931,0.5449338078,-0.0904498464,-0.6800190876,4.9763097623,2.1427651017,1.6813384542,0.4600579366,-0.1388033441,3.3684760142
-0.1125258832,0.5385844964,2.9168302917,2.3756942213,1.7806216130,-0.7367425974,1.5985574402,-1.2777118591,4.3965665321,7.3143130033
-0.1655000449,0.5923703355,4.7161468739,1.6575037117,0.7866566695,-3.2447572010,1.0197084277,2.6717177295,5.4389716704,6.9423632308
1.6105019848,0.2500271337,1.2202345531,3.6623785272,1.5061608603,4.0810852562,1.3014979484,-0.8184306744,4.5815269866,4.8854469811
-0.0882198347,-0.1954520843,0.4869282873,3.8840102265,2.7373772702,6.1399887929,1.8107594638,-1.0063740915,0.3677555557,5.9254349802
0.2982371413,1.0312377629,2.1217645833,5.4154247989,-0.3302747616,-1.0240383378,2.8084637924,4.7599540962,5.2417077868,0.9852383385
-0.0378476813,-0.0563511310,2.6557402174,1.3843597755,1.5351588806,-0.7201651122,3.7839092342,-1.2282001743,2.1657196905,4.3346890082
-0.0020806235,0.1175876252,-0.4485248354,1.3189194202,-0.8769955528,0.7191457115,7.5075396100,-1.2498217778,7.8774088799,2.0181344092
-0.0689428078,-0.1720874603,-0.6060718308,1.4522554037,0.5508633675,1.7040024886,1.7579534286,2.5787722914,5.7965070840,0.9153831090
0.0686489751,-0.6849655299,2.8052287409,0.2383703765,2.5562884012,0.8529196062,5.6752625191,3.3833379446,-1.4285728660,5.4991634779
0.5868690054,-0.3666028268,1.0296739678,3.3481435112,0.9610874281,0.2885933816,5.2205106133,-0.8862675229,1.6868189148,-0.3383258399
1.8079870372,-0.1927778066,-1.5996345354,0.3048043980,0.8849448431,2.0687959029,2.6856436740,-0.8625782596,0.9267112902,0.4664713456
0.4408161728,3.7861307231,-0.9961087826,-0.8546065717,-0.2372585606,5.4283158954,-0.3891538784,1.1639994685,-0.8552945548,4.9297784981
-0.0530665957,-0.4669702589,-0.4442298501,1.0842724022,2.1920126732,4.7595772678,0.6887767980,5.5760619848,-4.1883573830,2.4895183506
-0.2810457109,0.6185437634,1.7147353786,3.6186010300,1.2957489093,1.2282550418,1.2958403139,5.3925371162,5.1363424705,1.0686191158
0.3651394466,0.0121335175,0.3550058198,1.6163290955,0.9841177073,6.1423049752,1.0206804645,-0.2390305997,5.5222065428,-0.9482890137
0.4919788840,-0.0514534663,-0.4221145529,5.2506564883,1.1798865912,1.7151998130,2.3646508825,0.9588853856,0.9338850482,3.5211217103
1.6200297164,-1.4381172614,-0.5291469289,0.5168130251,3.8219138071,0.7977301224,1.6200157061,6.5895632238,0.2897288433,0.6745017285
1.3530270978,-0.3915813147,1.4909438539,4.3370086969,3.3676206908,4.3460602741,-0.0347757249,8.7463960377,1.2748303328,2.2962402744
-0.3910438262,1.8177612664,0.3825708533,2.3740684481,1.4643695369,-0.8143242135,-0.1168968485,1.8583660333,1.4707831976,4.1916656319
0.4601932482,2.7957003972,1.7114541909,-0.2651073020,0.8555136821,0.5460284175,-1.3841513197,1.0408485911,3.6209458163,5.6430797031
-0.0067635596,0.7570619972,0.3358512203,0.5300728650,0.7054962048,1.4074820087,4.2504467826,2.4062393452,5.5319463817,6.5344309324
0.1002319461,-0.3330223237,-0.5667485105,3.2882479110,1.4201631364,3.4651098862,4.4821352234,1.4515185391,0.0193481169,4.4289142451
