sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
-0.0132688344,-0.5939079722,-0.4722239414,2.0667225701,0.0166535845,2.4472227166,-0.4394416836,2.6574575090,-0.0032072023,1.0236575406
-0.1392683842,-1.3008103202,0.4408340790,0.6710970006,0.2517305152,-1.6325429638,-0.8321323569,0.2258034606,-0.7483916294,-0.0056102004
0.8637495382,-0.8571338742,0.0887815434,0.0229405317,-0.4860150535,0.4595615681,-1.1641538244,0.1691105627,0.1540098247,0.3217472975
0.0531541251,0.8699042518,2.5123801232,-0.0854302792,0.3060887058,-0.5645984572,0.8482343651,-0.4817804165,0.2894182982,-0.2776565563
2.8445490358,1.0836513255,0.2740273684,0.0734583052,-0.3673887423,0.7673500114,0.1840469526,5.9121035387,-2.4146184479,1.3254410045
1.3854396681,-0.3436162650,1.6269572011,1.8734061491,-0.2825702555,0.3033197752,0.7905217508,1.5699171541,-0.9715252017,4.5793668092
0.0730485696,-0.2253284225,0.0013915086,1.6276206404,0.0052956062,0.0077730939,-0.7639993517,0.0598975063,0.0588260583,-0.0247947428
0.3141252249,0.2956097620,0.3350960729,-0.3380259398,0.4847867685,0.1284880145,1.4023170389,0.6398327618,0.7851746299,1.5669045859
-0.0496208010,0.2818544920,0.2268472662,1.7706454480,0.8447256669,2.4589846360,-0.2102792153,0.1900598010,-1.0225226948,0.4449110788
-0.3089126209,-0.1463136045,1.7465702661,0.5456638831,0.5002425421,0.3648629670,0.0455129185,1.0820386608,0.7066244139,-0.2682884135
-0.1048378232,0.1248683045,-0.5931521267,1.8469850219,5.3063121170,-0.0128836325,-0.9640380994,0.7827480871,-0.5305492543,-0.6136694880
0.7733328915,-0.1335815396,0.9958959276,0.1446312527,1.1189063890,1.1197107906,-1.9691540949,0.3381175491,1.0637263022,-0.0930146691
0.5993307759,1.0893998766,1.1468205187,0.2888031108,2.0682961551,-0.1524810191,-0.0592069737,-0.3368878549,-1.1589602431,1.2457900813
-0.3240311110,-0.4979806074,1.4562223331,0.1511495059,1.6675087870,0.9006127293,-0.0784593739,0.0950171971,0.4599074709,0.2008864049
-0.0345457933,1.8996678376,-0.1624336499,0.0193125884,-0.4486734292,-0.3146617076,0.6569932513,-0.1787560258,0.0873110747,0.0432517878
0.7373331919,-0.0083517068,0.6144182377,0.3583680414,0.2729878672,1.3584759711,-0.0562846177,3.9975339973,0.0856116156,0.4062865484
0.1558938514,-0.0297674969,0.8765441703,0.0457313933,0.3993009503,-0.3536899583,0.0840862169,3.5857763502,-0.6746012955,-0.5360220162
0.0529512862,2.4344461076,2.0991043505,2.8865374634,-0.0908635478,0.2850459056,-0.3889353596,0.8049192293,0.8408463657,-1.7651539538
0.8560872321,-0.0248624732,0.7297644730,0.2366963145,-0.1392720971,0.0740886471,-0.0836216514,0.2723800374,0.1545945259,0.4681167139
0.0005966705,1.9607104855,-2.0293373797,0.1432111235,0.1355550538,-0.2643180880,7.5925486049,-0.1005172618,-0.4494896324,-0.1203781785
2.0023997148,-1.2367974424,2.4361814287,0.0633224683,0.8879899465,0.0775540155,0.1749563512,-0.9688156323,1.2965947830,-0.2503834209
0.9176800397,-0.7309402266,3.9235528935,0.4863008003,-0.1099026020,0.1054497583,0.0070207323,1.0187155899,-0.0009058358,3.4434928666
1.1324473289,-0.0126048636,0.5170443491,0.1947796505,2.0327846175,0.1412282498,1.3407160492,-0.9292012814,-0.0784273967,-0.0816882353
0.9278994878,0.0073916201,0.4877647611,-0.1973946166,4.2456409187,0.2069102943,-0.6422972952,0.3600947378,0.2022203643,0.1043181049
0.5243387314,0.2838322569,0.1901915939,1.0912550972,0.0673567150,-0.0313308774,-0.9839493411,1.8361085766,-0.4600001669,0.3597886333
-0.0875045988,0.5024977205,-0.8195556221,0.2823689749,0.0552618228,-0.4349396676,-0.8090858292,0.6898362540,-0.1791587803,0.0090413412
-0.1783354803,-0.1028078489,-0.0376917730,-0.0194938145,1.0248974506,-0.0806357237,-0.1749628724,2.1132981789,1.5165234083,0.2718475140
-0.0685669657,-0.7671321282,2.1893128625,-0.4610788470,3.6068045209,-0.0301883846,1.1611655091,-0.3575217271,5.1364548317,0.0150233497
1.3630295304,-0.1162787652,0.6928649793,1.2492929760,1.0655460229,1.2573504111,3.5712897896,0.1457977110,2.2584730742,-0.4318084099
0.1488430875,0.3123271923,0.4010069652,0.3081983921,0.0271086360,4.1010979458,1.2473565294,-0.7943812695,0.7272115200,-0.1266868062
-1.4933155397,0.7734037263,0.7256578758,-0.2390873229,-0.2173690357,0.4351507101,0.3479352022,0.4605946070,0.3281306144,0.0680024546
0.2543311467,0.1598106892,0.0509662926,-0.4438927328,-0.0511759513,0.0948657426,-1.0392162242,0.1796215430,0.1377172942,-0.0712346716
