reversal_type,N,cumulative_mean,ci_lower_2.5,ci_upper_97.5
token,10,3.8232361266023362,3.2499405827114933,4.343508497807618
token,20,3.945320696776343,3.549326439536163,4.31905545534958
token,30,3.963353566492884,3.6774806983388015,4.260702434272682
token,40,3.948703161782524,3.721169899467683,4.17637957201148
token,50,3.9359686147631394,3.747226674259545,4.128068230802701
token,60,3.9803973590017185,3.79150420219709,4.179172770835924
token,70,3.968598335360916,3.792195989602435,4.150755411250158
token,80,3.931996719512868,3.7702043731449995,4.099700553389256
token,90,3.9039535118081092,3.7514358418732416,4.0460148965148734
token,100,3.9125749176742435,3.7778164077878205,4.057529915608031
token,110,3.928150946842793,3.7961036327011946,4.072037596236491
token,120,3.956897419582204,3.822879593136374,4.09236789081624
token,130,3.973667472688288,3.85410554555186,4.102640523245929
token,140,3.964045516654737,3.8436957799632925,4.090225494022114
token,150,3.9723053790545344,3.8570867315774855,4.090919613644636
token,160,3.9763791783855256,3.8665308242355088,4.080812141548591
token,170,3.985913506208698,3.8823007738288875,4.0888996853455035
token,180,3.987911700658981,3.8905920345936984,4.092693956156015
token,190,3.982449114743945,3.883722030742333,4.090328477056568
token,200,3.9823684303169835,3.8829312793578468,4.078715872507971
token,210,3.9898346808215526,3.8844846681087386,4.089091474448419
token,220,3.981808165654886,3.8844972404619464,4.078707423908165
token,230,4.0066783843307805,3.908511694229649,4.102573575876757
token,240,4.009417891252903,3.914521978132222,4.107070127309226
token,250,4.013418305531953,3.9197851185576673,4.105340568578496
token,260,4.008434926584938,3.9224092319359936,4.104742688737834
token,270,3.999042588928112,3.9098568433710716,4.089234973767045
token,280,3.9974322384371734,3.9127003725207934,4.086185273573743
token,290,4.0003567052021385,3.917295882326488,4.0796675047950535
token,300,4.018302687741519,3.9261967928852894,4.106399897891309
token,310,4.012640074062858,3.929768539095507,4.0984938078992155
token,320,4.014215350292853,3.9288546151537624,4.096119317839646
token,330,4.011459382711486,3.9302039877348576,4.093900056766875
token,340,4.012105905915733,3.9315895370120884,4.094406561141296
token,350,4.005513470422693,3.928664426144574,4.08955179449106
token,360,4.013703758036083,3.936407207626081,4.087638553100761
token,370,4.007117095092821,3.933484656650462,4.081270708207568
token,380,4.011811750946204,3.939889350604764,4.08358886414222
token,390,4.013723275599105,3.9399561796514333,4.08353874585691
token,400,4.003817619190812,3.9346744160461062,4.077119330268451
token,410,3.996179236754663,3.9281489856410636,4.069814292557991
token,420,3.9984141924065906,3.9291822003012835,4.06561724032253
token,430,4.0027680796094005,3.9322358954102983,4.073605522405884
token,440,4.003891356178447,3.9364912842659843,4.0736674506473225
token,450,4.007361017232816,3.9393307449617776,4.073134101597389
token,460,4.0063965081980575,3.9351693961996825,4.071953415656695
token,470,4.004224797827824,3.938946955283331,4.068068255564339
token,480,3.997521274803887,3.9356778676628923,4.061614354312593
token,490,3.9968024282158323,3.9339069952672507,4.0596427226704055
token,500,3.991190043199388,3.927865309242929,4.0512604836066295
token,510,3.9867012980486796,3.9241746081555675,4.050352431452767
token,516,3.990138777233126,3.927896226907572,4.0559283370778605
block,10,0.4542643430467418,0.3031201608200259,0.619389086152791
block,20,0.4324572194702337,0.3290126822261052,0.5417528726933074
block,30,0.4446862652844081,0.35723084758692175,0.5341715584346125
block,40,0.4552051422526854,0.3857263028952482,0.5306950326070914
block,50,0.4409115614723524,0.37315302037344994,0.5073019310329231
block,60,0.4330263752346723,0.3740880121779004,0.4946600040885139
block,70,0.43997308122980205,0.3848239207788854,0.4975116450199149
block,80,0.4337586961609622,0.38616305724982253,0.48629480777289036
block,90,0.44023595426689044,0.3947778731561777,0.4885246117210977
block,100,0.45363480086581326,0.4009342596007565,0.5040441031664726
block,110,0.46164488947610893,0.4074671664041941,0.5215447537651946
block,120,0.45009955818494507,0.3996304505069762,0.5079213051347559
block,130,0.4505162202461437,0.4004506467483278,0.501374793017296
block,140,0.46441831822301916,0.4153417556447252,0.5173672047893144
block,150,0.46145470042027814,0.4159730411364612,0.5111479889193284
block,160,0.46563934345245517,0.42131428688822875,0.5119077034428006
block,170,0.4614152569407793,0.41809417444399294,0.5080344554653703
block,180,0.45927627471111826,0.41838713486663365,0.5033327277920439
block,190,0.4656200918829062,0.42649846987165846,0.5100886767790337
block,200,0.46133291676357807,0.4237946463255432,0.49960643319425646
block,210,0.46351139115421564,0.4262210197172051,0.5058071651904766
block,220,0.4730117496060474,0.4332096208812532,0.5132841850608653
block,230,0.47119332369830025,0.4330755377182766,0.5102838303615574
block,240,0.47229209510942904,0.4346490759281042,0.5096841442020169
block,250,0.4691254727908667,0.43132957986193143,0.5070673772769356
block,260,0.4685155408696638,0.430643312052735,0.5065876396819022
block,270,0.4751549066389057,0.4398652785319322,0.5128749516486061
block,280,0.4742055395290674,0.43824408799375986,0.5100536522243861
block,290,0.47207889343214815,0.4395759163156005,0.5092674239821806
block,300,0.47043799920369034,0.43837914827846713,0.5062838054769607
block,310,0.47713008126185763,0.44227010926769017,0.5130024949277525
