analysis,model_tag,input_text_generator,metric,n_causal,n_noncausal,mean_causal,mean_noncausal,median_causal,median_noncausal,U_causal,p_raw,p_holm,rank_biserial_r,r_ci_low,r_ci_high,ci_level,bootstrap_reps,bootstrap_seed,direction
primary_all_observations,Opus46,Claude Opus 4.6,sigma_token_per_T,100,100,3.1023339555243905,3.3588626766509515,3.0757521732044246,3.369070796582927,3282.0,2.7104704187739194e-05,0.00021683763350191355,-0.3436,-0.4898,-0.1901950000000001,0.95,10000,42,causal < non-causal
primary_all_observations,Opus46,Claude Opus 4.6,sigma_block_per_T,100,100,0.1395851699810925,0.013714649767172833,0.11859547003571477,0.01066518587069776,7286.0,2.3455522545599896e-08,2.1109970291039907e-07,0.45720000000000005,0.3182,0.589,0.95,10000,42,causal > non-causal
primary_all_observations,Fable5,Claude Fable 5,sigma_token_per_T,100,100,2.854381143209718,3.0667958927932513,2.830770789613634,3.0051350146733893,3984.0,0.01309183203153049,0.06545916015765245,-0.20320000000000005,-0.356,-0.04379500000000007,0.95,10000,42,causal < non-causal
primary_all_observations,Fable5,Claude Fable 5,sigma_block_per_T,100,100,0.08680109660439543,0.028864582502392683,0.0918918797739087,0.017019996308954434,6356.0,0.0009262703079246367,0.006483892155472457,0.2712000000000001,0.11179000000000008,0.4274,0.95,10000,42,causal > non-causal
primary_all_observations,Gemini31,Gemini 3.1 Pro,sigma_token_per_T,100,100,2.791830752222415,2.6929660933816946,2.7659892642404884,2.5791069997940212,5507.0,0.21587314314741296,0.8634925725896518,0.10139999999999993,-0.05800499999999996,0.2638049999999999,0.95,10000,42,causal > non-causal
primary_all_observations,Gemini31,Gemini 3.1 Pro,sigma_block_per_T,100,100,0.07424630100804866,0.01715145577350516,0.07307889882565266,0.013682760823737934,6312.0,0.0013529516343376824,0.008117709806026094,0.26239999999999997,0.10519500000000005,0.4152,0.95,10000,42,causal > non-causal
primary_all_observations,GPT54,GPT-5.4 Pro,sigma_token_per_T,100,100,2.7078442996793886,2.5993951833412594,2.664488704922322,2.650884891713786,5389.0,0.3424901298254554,0.8634925725896518,0.07780000000000009,-0.0806,0.236,0.95,10000,42,causal > non-causal
primary_all_observations,GPT54,GPT-5.4 Pro,sigma_block_per_T,100,100,0.053969130137607076,0.032004204213615134,0.06644586224051749,0.0342746774803985,5467.0,0.25435258407333755,0.8634925725896518,0.09339999999999993,-0.06740499999999995,0.2516049999999999,0.95,10000,42,causal > non-causal
primary_all_observations,GPT56,GPT-5.6 Pro,sigma_token_per_T,100,100,2.3517693704447944,2.775707506659569,2.2862628191303944,2.6910772144794466,2687.0,1.6013377305932568e-08,1.6013377305932568e-07,-0.4626,-0.5946,-0.3186,0.95,10000,42,causal < non-causal
primary_all_observations,GPT56,GPT-5.6 Pro,sigma_block_per_T,100,100,0.054464246217693,0.03529683133855169,0.05410514215382191,0.04259149658201563,5468.0,0.25333586307038974,0.8634925725896518,0.0935999999999999,-0.06680499999999995,0.25340499999999994,0.95,10000,42,causal > non-causal
