analysis,model_tag,input_text_generator,metric,n_causal,n_noncausal,mean_causal,mean_noncausal,median_causal,median_noncausal,U_causal,p_raw,p_holm,rank_biserial_r,r_ci_low,r_ci_high,ci_level,bootstrap_reps,bootstrap_seed,direction
primary_all_observations,Opus46,Claude Opus 4.6,sigma_token_per_T,100,100,2.991673023509782,3.33350167084683,2.941507789263733,3.330109863721207,3324.0,4.241808262043811e-05,0.00025450849572262866,-0.33520000000000005,-0.47940499999999997,-0.18119000000000016,0.95,10000,42,causal < non-causal
primary_all_observations,Opus46,Claude Opus 4.6,sigma_block_per_T,100,100,0.21997689644452717,-0.013708076538732315,0.18177602408137067,-0.02746954669555028,7846.0,3.5845408375257093e-12,3.584540837525709e-11,0.5691999999999999,0.43839500000000003,0.6888049999999999,0.95,10000,42,causal > non-causal
primary_all_observations,Fable5,Claude Fable 5,sigma_token_per_T,100,100,2.957274872663043,3.3180087557582363,2.9591866896081456,3.3320141587459498,3409.0,0.00010182142260437517,0.0005091071130218759,-0.31820000000000004,-0.4624,-0.16439500000000007,0.95,10000,42,causal < non-causal
primary_all_observations,Fable5,Claude Fable 5,sigma_block_per_T,100,100,0.13289763378686867,0.011084295564780305,0.13616070550386244,0.021381320655001965,6886.0,4.085008612129303e-06,3.2680068897034425e-05,0.3772,0.23019500000000004,0.5202,0.95,10000,42,causal > non-causal
primary_all_observations,Gemini31,Gemini 3.1 Pro,sigma_token_per_T,100,100,2.798390120232861,2.5924712748541094,2.6968712059315294,2.5338179116737995,5969.0,0.017960951860143202,0.05388285558042961,0.19379999999999997,0.03599500000000004,0.3504049999999999,0.95,10000,42,causal > non-causal
primary_all_observations,Gemini31,Gemini 3.1 Pro,sigma_block_per_T,100,100,0.16731319961239005,0.019301200824751195,0.14072655161212694,0.027780164033174515,7219.0,5.9379982209862644e-08,5.344198398887638e-07,0.4438,0.3006,0.58,0.95,10000,42,causal > non-causal
primary_all_observations,GPT54,GPT-5.4 Pro,sigma_token_per_T,100,100,2.8809522399283494,2.8267112726773185,2.8583311281872517,2.783968850552779,5235.0,0.5666618284390166,0.5666618284390166,0.04699999999999993,-0.1144,0.209,0.95,10000,42,causal > non-causal
primary_all_observations,GPT54,GPT-5.4 Pro,sigma_block_per_T,100,100,0.14168060351977757,0.02028481085169032,0.1246701968249771,0.00301163313865042,6771.0,1.5182762640931788e-05,0.00010627933848652252,0.35420000000000007,0.2034,0.5022099999999998,0.95,10000,42,causal > non-causal
primary_all_observations,GPT56,GPT-5.6 Pro,sigma_token_per_T,100,100,2.5574196087736802,2.8076974653503943,2.6059785989979547,2.7674334030465353,3810.0,0.0036560079180029867,0.014624031672011947,-0.238,-0.386405,-0.083,0.95,10000,42,causal < non-causal
primary_all_observations,GPT56,GPT-5.6 Pro,sigma_block_per_T,100,100,0.11052928948227628,0.06750115884878467,0.1137151772360568,0.030807068830061644,5820.0,0.04524632891922346,0.09049265783844691,0.16399999999999992,0.006595000000000044,0.3216049999999999,0.95,10000,42,causal > non-causal
